"","x"
"697","15994.0"
"698","15996.0"
"699","16000.0"
"700","16001.0"
"701","16002.0"
"702","16003.0"
"703","16007.0"
"704","16126.0"
"705","16128.0"
"706","16130.0"
"707","16153.0"
"708","16155.0"
"709","16184.0"
"710","16235.0"
"711","16241.0"
"712","16282.0"
"713","16402.0"
"714","16451.0"
"715","16559.0"
"716","16581.0"
"717","16598.0"
"718","16605.0"
"719","16611.0"
"720","16613.0"
"721","16620.0"
"722","16630.0"
"723","16631.0"
"724","16633.0"
"725","16639.0"
"726","16645.0"
"727","16646.0"
"728","16667.0"
"729","16674.0"
"730","16676.0"
"731","16688.0"
"732","16692.0"
"733","16697.0"
"734","16699.0"
"735","16710.0"
"736","16720.0"
"737","16733.0"
"738","16770.0"
"739","16776.0"
"740","16786.0"
"741","16815.0"
"742","16818.0"
"743","16820.0"
"744","16823.0"
"745","16827.0"
"746","16828.0"
"747","16863.0"
"748","16869.0"
"749","16905.0"
"750","16909.0"
"751","17013.0"
"752","17019.0"
"753","17168.0"
"754","17398.0"
"755","17400.0"
"756","17401.0"
"757","17402.0"
"758","17416.0"
"759","17417.0"
"760","17440.0"
"761","17466.0"
"762","17488.0"
"763","17504.0"
"764","17505.0"
"765","17509.0"
"766","17510.0"
"767","17535.0"
"768","17585.0"
"769","17586.0"
"770","17599.0"
"771","17605.0"
"772","17609.0"
"773","17627.0"
"774","17642.0"
"775","17683.0"
"776","17699.0"
"777","17712.0"
"778","17752.0"
"779","17845.0"
"780","17851.0"
"781","17852.0"
"782","17853.0"
"783","17856.0"
"784","17858.0"
"785","17860.0"
"786","17862.0"
"787","17863.0"
"788","17866.0"
"789","17868.0"
"790","17871.0"
"791","17874.0"
"792","17876.0"
"793","17877.0"
"794","17880.0"
"795","17881.0"
"796","17883.0"
"797","17885.0"
"798","17887.0"
"799","17889.0"
"800","17891.0"
"801","17893.0"
"802","17894.0"
"803","17896.0"
"804","17897.0"
"805","17899.0"
"806","17900.0"
"807","17906.0"
"808","17911.0"
"809","17922.0"
"810","17929.0"
"811","17930.0"
"812","17931.0"
"813","17934.0"
"814","17936.0"
"815","17938.0"
"816","17939.0"
"817","17941.0"
"818","17944.0"
"819","17948.0"
"820","17949.0"
"821","17951.0"
"822","17957.0"
"823","17962.0"
"824","17963.0"
"825","17967.0"
"826","17971.0"
"827","17972.0"
"828","17974.0"
"829","17979.0"
"830","17981.0"
"831","17984.0"
"832","17986.0"
"833","17987.0"
"834","17988.0"
"835","17999.0"
"836","18001.0"
"837","18002.0"
"838","18003.0"
"839","18005.0"
"840","18006.0"
"841","18008.0"
"842","18011.0"
"843","18017.0"
"844","18020.0"
"845","18032.0"
"846","18034.0"
"847","18037.0"
"848","18041.0"
"849","18043.0"
"850","18045.0"
"851","18050.0"
"852","18053.0"
"853","18056.0"
"854","18063.0"
"855","18066.0"
"856","18096.0"
"857","18137.0"
"858","18138.0"
"859","18139.0"
"860","18143.0"
"861","18145.0"
"862","18155.0"
"863","18164.0"
"864","18177.0"
"865","18180.0"
"866","18197.0"
"867","18214.0"
"868","18215.0"
"869","18220.0"
"870","18228.0"
"871","18229.0"
"872","18231.0"
"873","18264.0"
"874","18272.0"
"875","18283.0"
"876","18285.0"
"877","18288.0"
"878","18296.0"
"879","18417.0"
"880","18430.0"
"881","18434.0"
"882","18456.0"
"883","18465.0"
"884","18468.0"
"885","18470.0"
"886","18487.0"
"887","18494.0"
"888","18498.0"
"889","18501.0"
"890","18512.0"
"891","18513.0"
"892","18534.0"
"893","18536.0"
"894","18547.0"
"895","18562.0"
"896","18566.0"
"897","18572.0"
"898","18577.0"
"899","18587.0"
"900","18591.0"
"901","18604.0"
"902","18625.0"
"903","18655.0"
"904","18664.0"
"905","18668.0"
"906","18675.0"
"907","18680.0"
"908","18713.0"
"909","18733.0"
"910","18755.0"
"911","18759.0"
"912","18761.0"
"913","18777.0"
"914","18778.0"
"915","18797.0"
"916","18800.0"
"917","18814.0"
"918","18827.0"
"919","18831.0"
"920","18837.0"
"921","18839.0"
"922","18871.0"
"923","18891.0"
"924","18934.0"
"925","18950.0"
"926","18956.0"
"927","18958.0"
"928","19056.0"
"929","19103.0"
"930","19105.0"
"931","19140.0"
"932","19141.0"
"933","19142.0"
"934","19169.0"
"935","19235.0"
"936","19237.0"
"937","19249.0"
"938","19254.0"
"939","19283.0"
"940","19284.0"
"941","19288.0"
"942","19311.0"
"943","19356.0"
"944","19361.0"
"945","19363.0"
"946","19364.0"
"947","19392.0"
"948","19469.0"
"949","19470.0"
"950","19503.0"
"951","19514.0"
"952","19576.0"
"953","19596.0"
"954","19607.0"
"955","19610.0"
"956","19619.0"
"957","19624.0"
"958","19628.0"
"959","19630.0"
"960","19633.0"
"961","19654.0"
"962","19663.0"
"963","19684.0"
"964","19694.0"
"965","19708.0"
"966","19714.0"
"967","19790.0"
"968","19809.0"
"969","19815.0"
"970","19817.0"
"971","19818.0"
"972","19825.0"
"973","19849.0"
"974","19909.0"
"975","19919.0"
"976","19922.0"
"977","19924.0"
"978","19952.0"
"979","19956.0"
"980","19964.0"
"981","19969.0"
"982","20021.0"
"983","20026.0"
"984","20062.0"
"985","20085.0"
"986","20100.0"
"987","20101.0"
"988","20122.0"
"989","20125.0"
"990","20135.0"
"991","20171.0"
"992","20184.0"
"993","20204.0"
"994","20228.0"
"995","20266.0"
"996","20278.0"
"997","20300.0"
"998","20315.0"
"999","20319.0"
"1000","20329.0"
"1001","20367.0"
"1002","20371.0"
"1003","20405.0"
"1004","20410.0"
"1005","20414.0"
"1006","20445.0"
"1007","20454.0"
"1008","20456.0"
"1009","20463.0"
"1010","20468.0"
"1011","20469.0"
"1012","20523.0"
"1013","20553.0"
"1014","20555.0"
"1015","20583.0"
"1016","20584.0"
"1017","20641.0"
"1018","20662.0"
"1019","20667.0"
"1020","20668.0"
"1021","20675.0"
"1022","20683.0"
"1023","20804.0"
"1024","20816.0"
"1025","20817.0"
"1026","20818.0"
"1027","20843.0"
"1028","20847.0"
"1029","20886.0"
"1030","20891.0"
"1031","20913.0"
"1032","20941.0"
"1033","20975.0"
"1034","20985.0"
"1035","21045.0"
"1036","21055.0"
"1037","21057.0"
"1038","21062.0"
"1039","21077.0"
"1040","21109.0"
"1041","21141.0"
"1042","21157.0"
"1043","21159.0"
"1044","21161.0"
"1045","21169.0"
"1046","21248.0"
"1047","21253.0"
"1048","21271.0"
"1049","21362.0"
"1050","21365.0"
"1051","21377.0"
"1052","21381.0"
"1053","21383.0"
"1054","21387.0"
"1055","21396.0"
"1056","21401.0"
"1057","21404.0"
"1058","21422.0"
"1059","21524.0"
"1060","21526.0"
"1061","21553.0"
"1062","21570.0"
"1063","21592.0"
"1064","21593.0"
"1065","21689.0"
"1066","21737.0"
