,Funding type
17652,Seed
17653,Series B
17654,Debt Financing
17655,Venture - Series Unknown
17656,Series C
17657,Private Equity
17658,Seed
17659,Seed
17660,Venture - Series Unknown
17661,Private Equity
17662,Seed
17663,Venture - Series Unknown
17664,Venture - Series Unknown
17665,Series C
17666,Post-IPO Equity
17667,Venture - Series Unknown
17668,Venture - Series Unknown
17669,Angel
17670,Venture - Series Unknown
17671,Series A
17672,Series C
17673,Venture - Series Unknown
17674,Venture - Series Unknown
17675,Angel
17676,Post-IPO Equity
17677,Debt Financing
17678,Grant
17679,Post-IPO Equity
17680,Convertible Note
17681,Grant
17682,Grant
17683,Venture - Series Unknown
17684,Venture - Series Unknown
17685,Grant
17686,Seed
17687,Series A
17688,Series A
17689,Venture - Series Unknown
17690,Series A
17691,Debt Financing
17692,Venture - Series Unknown
17693,Funding Round
17694,Venture - Series Unknown
17695,Convertible Note
17696,Series B
17697,Non-equity Assistance
17698,Seed
17699,Convertible Note
17700,Series B
17701,Series A
17702,Series B
17703,Venture - Series Unknown
17704,Series D
17705,Series A
17706,Venture - Series Unknown
17707,Debt Financing
17708,Debt Financing
17709,Secondary Market
17710,Series A
17711,Venture - Series Unknown
17712,Debt Financing
17713,Debt Financing
17714,Secondary Market
17715,Series D
17716,Venture - Series Unknown
17717,Debt Financing
17718,Venture - Series Unknown
17719,Seed
17720,Seed
17721,Venture - Series Unknown
17722,Venture - Series Unknown
17723,Series B
17724,Seed
17725,Series A
17726,Debt Financing
17727,Seed
17728,Debt Financing
17729,Series D
17730,Private Equity
17731,Seed
17732,Seed
17733,Seed
17734,Seed
17735,Seed
17736,Venture - Series Unknown
17737,Angel
17738,Seed
17739,Seed
17740,Non-equity Assistance
17741,Seed
17742,Grant
17743,Seed
17744,Seed
17745,Series A
17746,Venture - Series Unknown
17747,Debt Financing
17748,Debt Financing
17749,Secondary Market
17750,Series D
17751,Venture - Series Unknown
17752,Debt Financing
17753,Venture - Series Unknown
17754,Seed
17755,Seed
17756,Venture - Series Unknown
17757,Venture - Series Unknown
17758,Series B
17759,Seed
17760,Series A
17761,Debt Financing
17762,Seed
17763,Debt Financing
17764,Series D
17765,Private Equity
17766,Seed
17767,Seed
17768,Seed
17769,Seed
17770,Seed
17771,Venture - Series Unknown
17772,Angel
17773,Seed
17774,Seed
17775,Non-equity Assistance
17776,Seed
17777,Grant
17778,Seed
17779,Seed
17780,Series A
17781,Series A
17782,Venture - Series Unknown
17783,Post-IPO Equity
17784,Seed
17785,Seed
17786,Venture - Series Unknown
17787,Funding Round
17788,Series A
17789,Series A
17790,Series A
17791,Series B
17792,Angel
17793,Series A
17794,Grant
17795,Grant
17796,Series A
17797,Seed
17798,Private Equity
17799,Post-IPO Debt
17800,Debt Financing
17801,Seed
17802,Pre-Seed
17803,Venture - Series Unknown
17804,Seed
17805,Seed
17806,Venture - Series Unknown
17807,Seed
17808,Venture - Series Unknown
17809,Series B
17810,Seed
17811,Venture - Series Unknown
17812,Series A
17813,Debt Financing
17814,Series D
17815,Venture - Series Unknown
17816,Series B
17817,Venture - Series Unknown
17818,Venture - Series Unknown
17819,Post-IPO Debt
17820,Series B
17821,Private Equity
17822,Venture - Series Unknown
17823,Seed
17824,Series A
17825,Series B
17826,Series D
17827,Venture - Series Unknown
17828,Grant
17829,Seed
17830,Debt Financing
17831,Series D
17832,Post-IPO Equity
17833,Venture - Series Unknown
17834,Seed
17835,Venture - Series Unknown
17836,Debt Financing
17837,Series A
17838,Venture - Series Unknown
17839,Series A
17840,Seed
17841,Venture - Series Unknown
17842,Series B
17843,Series B
17844,Venture - Series Unknown
17845,Angel
17846,Venture - Series Unknown
17847,Venture - Series Unknown
17848,Seed
17849,Debt Financing
17850,Seed
17851,Seed
17852,Debt Financing
17853,Post-IPO Equity
17854,Seed
17855,Venture - Series Unknown
17856,Venture - Series Unknown
17857,Venture - Series Unknown
17858,Series E
17859,Post-IPO Equity
17860,Venture - Series Unknown
17861,Post-IPO Equity
17862,Seed
17863,Venture - Series Unknown
17864,Post-IPO Equity
17865,Seed
17866,Series B
17867,Series B
17868,Seed
17869,Series B
17870,Venture - Series Unknown
17871,Debt Financing
17872,Series A
17873,Venture - Series Unknown
17874,Venture - Series Unknown
17875,Series A
17876,Angel
17877,Venture - Series Unknown
17878,Venture - Series Unknown
17879,Venture - Series Unknown
17880,Series A
17881,Post-IPO Debt
17882,Private Equity
17883,Venture - Series Unknown
17884,Private Equity
17885,Debt Financing
17886,Debt Financing
17887,Seed
17888,Seed
17889,Seed
17890,Seed
17891,Seed
17892,Grant
17893,Seed
17894,Seed
17895,Seed
17896,Seed
17897,Seed
17898,Equity Crowdfunding
17899,Series B
17900,Venture - Series Unknown
17901,Venture - Series Unknown
17902,Venture - Series Unknown
17903,Venture - Series Unknown
17904,Debt Financing
17905,Grant
17906,Seed
17907,Seed
17908,Seed
17909,Seed
17910,Post-IPO Equity
17911,Series F
17912,Debt Financing
17913,Seed
17914,Convertible Note
17915,Debt Financing
17916,Seed
17917,Seed
17918,Debt Financing
17919,Series B
17920,Seed
17921,Private Equity
17922,Series B
17923,Seed
17924,Venture - Series Unknown
17925,Venture - Series Unknown
17926,Seed
17927,Venture - Series Unknown
17928,Seed
17929,Venture - Series Unknown
17930,Venture - Series Unknown
17931,Seed
17932,Seed
17933,Seed
17934,Series A
17935,Private Equity
17936,Seed
17937,Angel
17938,Series C
17939,Angel
17940,Seed
17941,Private Equity
17942,Private Equity
17943,Venture - Series Unknown
17944,Seed
17945,Venture - Series Unknown
17946,Seed
17947,Seed
17948,Private Equity
17949,Series A
17950,Venture - Series Unknown
17951,Venture - Series Unknown
17952,Seed
17953,Grant
17954,Seed
17955,Seed
17956,Seed
17957,Angel
17958,Venture - Series Unknown
17959,Grant
17960,Venture - Series Unknown
17961,Seed
17962,Seed
17963,Venture - Series Unknown
17964,Series A
17965,Venture - Series Unknown
17966,Venture - Series Unknown
17967,Venture - Series Unknown
17968,Debt Financing
17969,Series B
17970,Angel
17971,Seed
17972,Debt Financing
17973,Seed
17974,Seed
17975,Seed
17976,Venture - Series Unknown
17977,Seed
17978,Pre-Seed
17979,Seed
17980,Seed
17981,Venture - Series Unknown
17982,Seed
17983,Venture - Series Unknown
17984,Series C
17985,Series D
17986,Series A
17987,Seed
17988,Seed
17989,Series A
17990,Venture - Series Unknown
17991,Venture - Series Unknown
17992,Seed
17993,Angel
17994,Pre-Seed
17995,Series A
17996,Post-IPO Equity
17997,Seed
17998,Venture - Series Unknown
17999,Venture - Series Unknown
18000,Series B
18001,Series A
18002,Debt Financing
18003,Debt Financing
18004,Seed
18005,Venture - Series Unknown
18006,Seed
18007,Debt Financing
18008,Private Equity
18009,Seed
18010,Series A
18011,Debt Financing
18012,Series A
18013,Debt Financing
18014,Venture - Series Unknown
18015,Seed
18016,Debt Financing
18017,Post-IPO Equity
18018,Equity Crowdfunding
18019,Series B
18020,Venture - Series Unknown
18021,Series A
18022,Equity Crowdfunding
18023,Series G
18024,Seed
18025,Seed
18026,Series A
18027,Post-IPO Equity
18028,Venture - Series Unknown
18029,Venture - Series Unknown
18030,Seed
18031,Post-IPO Debt
18032,Debt Financing
18033,Seed
18034,Venture - Series Unknown
18035,Venture - Series Unknown
18036,Seed
18037,Series F
18038,Seed
18039,Debt Financing
18040,Private Equity
18041,Post-IPO Equity
18042,Seed
18043,Venture - Series Unknown
18044,Venture - Series Unknown
18045,Venture - Series Unknown
18046,Series C
18047,Series C
18048,Series A
18049,Venture - Series Unknown
18050,Series C
18051,Series B
18052,Series C
18053,Venture - Series Unknown
18054,Post-IPO Equity
18055,Series A
18056,Venture - Series Unknown
18057,Venture - Series Unknown
18058,Post-IPO Debt
18059,Seed
18060,Corporate Round
18061,Debt Financing
18062,Series A
18063,Seed
18064,Venture - Series Unknown
18065,Series B
18066,Series A
18067,Venture - Series Unknown
18068,Post-IPO Equity
18069,Series B
18070,Seed
18071,Series B
18072,Private Equity
18073,Funding Round
18074,Series D
18075,Series B
18076,Debt Financing
18077,Series C
18078,Series D
18079,Venture - Series Unknown
18080,Series A
18081,Series C
18082,Series C
18083,Venture - Series Unknown
18084,Venture - Series Unknown
18085,Seed
18086,Debt Financing
18087,Venture - Series Unknown
18088,Series A
18089,Series A
18090,Debt Financing
18091,Series C
18092,Debt Financing
18093,Seed
18094,Seed
18095,Venture - Series Unknown
18096,Series C
18097,Seed
18098,Seed
18099,Venture - Series Unknown
18100,Seed
18101,Series A
18102,Series A
18103,Seed
18104,Series A
18105,Venture - Series Unknown
18106,Seed
18107,Debt Financing
18108,Seed
18109,Venture - Series Unknown
18110,Angel
18111,Angel
18112,Seed
18113,Debt Financing
18114,Grant
18115,Grant
18116,Seed
18117,Funding Round
18118,Debt Financing
18119,Grant
18120,Seed
18121,Venture - Series Unknown
18122,Seed
18123,Grant
18124,Seed
18125,Post-IPO Debt
18126,Grant
18127,Series C
18128,Angel
18129,Seed
18130,Grant
18131,Debt Financing
18132,Grant
18133,Grant
18134,Grant
18135,Seed
18136,Grant
18137,Grant
18138,Seed
18139,Grant
18140,Series B
18141,Grant
18142,Seed
18143,Grant
18144,Series A
18145,Grant
18146,Seed
18147,Grant
18148,Grant
18149,Seed
18150,Seed
18151,Series B
18152,Venture - Series Unknown
18153,Post-IPO Equity
18154,Grant
18155,Grant
18156,Venture - Series Unknown
18157,Pre-Seed
18158,Post-IPO Equity
18159,Seed
18160,Venture - Series Unknown
18161,Post-IPO Debt
18162,Series E
18163,Equity Crowdfunding
18164,Series A
18165,Debt Financing
18166,Venture - Series Unknown
18167,Debt Financing
18168,Grant
18169,Series C
18170,Private Equity
18171,Venture - Series Unknown
18172,Post-IPO Equity
18173,Seed
18174,Debt Financing
18175,Seed
18176,Venture - Series Unknown
18177,Debt Financing
18178,Series B
18179,Venture - Series Unknown
18180,Private Equity
18181,Venture - Series Unknown
18182,Seed
18183,Series B
18184,Angel
18185,Seed
18186,Venture - Series Unknown
18187,Debt Financing
18188,Debt Financing
18189,Series A
18190,Series A
18191,Debt Financing
18192,Venture - Series Unknown
18193,Series A
18194,Venture - Series Unknown
18195,Debt Financing
18196,Seed
18197,Seed
18198,Grant
18199,Pre-Seed
18200,Seed
18201,Venture - Series Unknown
18202,Series A
18203,Series E
18204,Debt Financing
18205,Debt Financing
18206,Venture - Series Unknown
18207,Series A
18208,Venture - Series Unknown
18209,Seed
18210,Venture - Series Unknown
18211,Series A
18212,Venture - Series Unknown
18213,Series A
18214,Series C
18215,Debt Financing
18216,Pre-Seed
18217,Venture - Series Unknown
18218,Venture - Series Unknown
18219,Series C
18220,Debt Financing
18221,Debt Financing
18222,Venture - Series Unknown
18223,Series D
18224,Venture - Series Unknown
18225,Venture - Series Unknown
18226,Venture - Series Unknown
18227,Debt Financing
18228,Series A
18229,Debt Financing
18230,Venture - Series Unknown
18231,Angel
18232,Seed
18233,Debt Financing
18234,Series B
18235,Debt Financing
18236,Debt Financing
18237,Series D
18238,Debt Financing
18239,Seed
18240,Post-IPO Debt
18241,Series C
18242,Seed
18243,Grant
18244,Series A
18245,Debt Financing
18246,Seed
18247,Venture - Series Unknown
18248,Funding Round
18249,Venture - Series Unknown
18250,Angel
18251,Post-IPO Equity
18252,Private Equity
18253,Seed
18254,Venture - Series Unknown
18255,Post-IPO Equity
18256,Equity Crowdfunding
18257,Series C
18258,Post-IPO Equity
18259,Series B
18260,Series B
18261,Seed
18262,Series B
18263,Series B
18264,Seed
18265,Series A
18266,Debt Financing
18267,Series B
18268,Venture - Series Unknown
18269,Venture - Series Unknown
18270,Seed
18271,Venture - Series Unknown
18272,Series B
18273,Venture - Series Unknown
18274,Venture - Series Unknown
18275,Series A
18276,Series B
18277,Series B
18278,Venture - Series Unknown
18279,Seed
18280,Series C
18281,Venture - Series Unknown
18282,Series A
18283,Venture - Series Unknown
18284,Venture - Series Unknown
18285,Seed
18286,Seed
18287,Series D
18288,Private Equity
18289,Series B
18290,Seed
18291,Grant
18292,Series A
18293,Debt Financing
18294,Series A
18295,Series A
18296,Seed
18297,Venture - Series Unknown
18298,Venture - Series Unknown
18299,Series A
18300,Seed
18301,Seed
18302,Debt Financing
18303,Seed
18304,Private Equity
18305,Series A
18306,Series B
18307,Series B
18308,Seed
18309,Seed
18310,Grant
18311,Grant
18312,Debt Financing
18313,Private Equity
18314,Funding Round
18315,Debt Financing
18316,Seed
18317,Debt Financing
18318,Series A
18319,Seed
18320,Series B
18321,Debt Financing
18322,Series A
18323,Venture - Series Unknown
18324,Seed
18325,Series A
18326,Series E
18327,Series B
18328,Angel
18329,Venture - Series Unknown
18330,Post-IPO Debt
18331,Venture - Series Unknown
18332,Venture - Series Unknown
18333,Venture - Series Unknown
18334,Venture - Series Unknown
18335,Series E
18336,Series A
18337,Venture - Series Unknown
18338,Venture - Series Unknown
18339,Debt Financing
18340,Series B
18341,Private Equity
18342,Venture - Series Unknown
18343,Series B
18344,Seed
18345,Seed
18346,Seed
18347,Venture - Series Unknown
18348,Series B
18349,Series C
18350,Venture - Series Unknown
18351,Venture - Series Unknown
18352,Venture - Series Unknown
18353,Equity Crowdfunding
18354,Debt Financing
18355,Venture - Series Unknown
18356,Series B
18357,Seed
18358,Equity Crowdfunding
18359,Series C
18360,Venture - Series Unknown
18361,Series E
18362,Series D
18363,Equity Crowdfunding
18364,Venture - Series Unknown
18365,Venture - Series Unknown
18366,Debt Financing
18367,Seed
18368,Venture - Series Unknown
18369,Venture - Series Unknown
18370,Venture - Series Unknown
18371,Venture - Series Unknown
18372,Series C
18373,Venture - Series Unknown
18374,Venture - Series Unknown
18375,Seed
18376,Grant
18377,Debt Financing
18378,Venture - Series Unknown
18379,Seed
18380,Series A
18381,Grant
18382,Debt Financing
18383,Venture - Series Unknown
18384,Series C
18385,Post-IPO Equity
18386,Seed
18387,Series B
18388,Equity Crowdfunding
18389,Debt Financing
18390,Series C
18391,Venture - Series Unknown
18392,Venture - Series Unknown
18393,Venture - Series Unknown
18394,Venture - Series Unknown
18395,Venture - Series Unknown
18396,Seed
18397,Venture - Series Unknown
18398,Debt Financing
18399,Series A
18400,Post-IPO Debt
18401,Venture - Series Unknown
18402,Venture - Series Unknown
18403,Debt Financing
18404,Private Equity
18405,Venture - Series Unknown
18406,Series A
18407,Venture - Series Unknown
18408,Post-IPO Debt
18409,Venture - Series Unknown
18410,Private Equity
18411,Seed
18412,Series B
18413,Venture - Series Unknown
18414,Venture - Series Unknown
18415,Series A
18416,Series A
18417,Series A
18418,Seed
18419,Post-IPO Equity
18420,Venture - Series Unknown
18421,Post-IPO Equity
18422,Venture - Series Unknown
18423,Venture - Series Unknown
18424,Post-IPO Secondary
18425,Seed
18426,Private Equity
18427,Venture - Series Unknown
18428,Venture - Series Unknown
18429,Seed
18430,Debt Financing
18431,Debt Financing
18432,Debt Financing
18433,Grant
18434,Seed
18435,Debt Financing
18436,Seed
18437,Seed
18438,Grant
18439,Grant
18440,Seed
18441,Seed
18442,Venture - Series Unknown
18443,Series C
18444,Venture - Series Unknown
18445,Seed
18446,Angel
18447,Series C
18448,Angel
18449,Series A
18450,Series C
18451,Seed
18452,Private Equity
18453,Seed
18454,Series D
18455,Convertible Note
18456,Series A
18457,Venture - Series Unknown
18458,Seed
18459,Debt Financing
18460,Venture - Series Unknown
18461,Venture - Series Unknown
18462,Debt Financing
18463,Seed
18464,Debt Financing
18465,Venture - Series Unknown
18466,Venture - Series Unknown
18467,Venture - Series Unknown
18468,Venture - Series Unknown
18469,Venture - Series Unknown
18470,Series A
18471,Convertible Note
18472,Venture - Series Unknown
18473,Seed
18474,Venture - Series Unknown
18475,Venture - Series Unknown
18476,Venture - Series Unknown
18477,Venture - Series Unknown
18478,Series C
18479,Debt Financing
18480,Venture - Series Unknown
18481,Pre-Seed
18482,Series A
18483,Venture - Series Unknown
18484,Venture - Series Unknown
18485,Seed
18486,Venture - Series Unknown
18487,Convertible Note
18488,Seed
18489,Series B
18490,Debt Financing
18491,Seed
18492,Funding Round
18493,Post-IPO Debt
18494,Venture - Series Unknown
18495,Seed
18496,Venture - Series Unknown
18497,Venture - Series Unknown
18498,Seed
18499,Series A
18500,Convertible Note
18501,Seed
18502,Seed
18503,Venture - Series Unknown
18504,Angel
18505,Pre-Seed
18506,Venture - Series Unknown
18507,Non-equity Assistance
18508,Seed
18509,Venture - Series Unknown
18510,Pre-Seed
18511,Pre-Seed
18512,Series C
18513,Venture - Series Unknown
18514,Venture - Series Unknown
18515,Angel
18516,Seed
18517,Venture - Series Unknown
18518,Venture - Series Unknown
18519,Series B
18520,Angel
18521,Venture - Series Unknown
18522,Series A
18523,Venture - Series Unknown
18524,Venture - Series Unknown
18525,Private Equity
18526,Seed
18527,Venture - Series Unknown
18528,Seed
18529,Venture - Series Unknown
18530,Seed
18531,Venture - Series Unknown
18532,Seed
18533,Seed
18534,Debt Financing
18535,Venture - Series Unknown
18536,Venture - Series Unknown
18537,Seed
18538,Seed
18539,Non-equity Assistance
18540,Seed
18541,Venture - Series Unknown
18542,Seed
18543,Venture - Series Unknown
18544,Non-equity Assistance
18545,Private Equity
18546,Seed
18547,Seed
18548,Seed
18549,Seed
18550,Venture - Series Unknown
18551,Seed
18552,Non-equity Assistance
18553,Debt Financing
18554,Venture - Series Unknown
18555,Angel
18556,Seed
18557,Angel
18558,Venture - Series Unknown
18559,Venture - Series Unknown
18560,Angel
18561,Seed
18562,Venture - Series Unknown
18563,Series A
18564,Venture - Series Unknown
18565,Seed
18566,Seed
18567,Seed
18568,Seed
18569,Seed
18570,Debt Financing
18571,Series A
18572,Angel
18573,Seed
18574,Seed
18575,Non-equity Assistance
18576,Angel
18577,Series A
18578,Venture - Series Unknown
18579,Angel
18580,Seed
18581,Venture - Series Unknown
18582,Seed
18583,Seed
18584,Seed
18585,Venture - Series Unknown
18586,Series A
18587,Series B
18588,Seed
18589,Venture - Series Unknown
18590,Venture - Series Unknown
18591,Venture - Series Unknown
18592,Seed
18593,Seed
18594,Seed
18595,Grant
18596,Seed
18597,Post-IPO Equity
18598,Angel
18599,Seed
18600,Seed
18601,Seed
18602,Venture - Series Unknown
18603,Angel
18604,Seed
18605,Seed
18606,Grant
18607,Grant
18608,Convertible Note
18609,Seed
18610,Seed
18611,Series B
18612,Seed
18613,Venture - Series Unknown
18614,Seed
18615,Pre-Seed
18616,Non-equity Assistance
18617,Venture - Series Unknown
18618,Venture - Series Unknown
18619,Seed
18620,Funding Round
18621,Private Equity
18622,Seed
18623,Seed
18624,Venture - Series Unknown
18625,Venture - Series Unknown
18626,Venture - Series Unknown
18627,Venture - Series Unknown
18628,Series A
18629,Seed
18630,Venture - Series Unknown
18631,Venture - Series Unknown
18632,Venture - Series Unknown
18633,Debt Financing
18634,Seed
18635,Series B
18636,Venture - Series Unknown
18637,Debt Financing
18638,Venture - Series Unknown
18639,Debt Financing
18640,Venture - Series Unknown
18641,Venture - Series Unknown
18642,Venture - Series Unknown
18643,Seed
18644,Debt Financing
18645,Venture - Series Unknown
18646,Venture - Series Unknown
18647,Venture - Series Unknown
18648,Seed
18649,Seed
18650,Private Equity
18651,Seed
18652,Post-IPO Debt
18653,Venture - Series Unknown
18654,Seed
18655,Seed
18656,Seed
18657,Private Equity
18658,Venture - Series Unknown
18659,Series B
18660,Post-IPO Equity
18661,Series D
18662,Private Equity
18663,Grant
18664,Seed
18665,Venture - Series Unknown
18666,Debt Financing
18667,Equity Crowdfunding
18668,Series A
18669,Debt Financing
18670,Venture - Series Unknown
18671,Venture - Series Unknown
18672,Debt Financing
18673,Seed
18674,Debt Financing
18675,Seed
18676,Non-equity Assistance
18677,Post-IPO Equity
18678,Venture - Series Unknown
18679,Venture - Series Unknown
18680,Seed
18681,Series C
18682,Series A
18683,Seed
18684,Venture - Series Unknown
18685,Private Equity
18686,Series A
18687,Debt Financing
18688,Series C
18689,Venture - Series Unknown
18690,Venture - Series Unknown
18691,Debt Financing
18692,Series B
18693,Post-IPO Equity
18694,Debt Financing
18695,Venture - Series Unknown
18696,Venture - Series Unknown
18697,Venture - Series Unknown
18698,Venture - Series Unknown
18699,Seed
18700,Grant
18701,Seed
18702,Seed
18703,Series A
18704,Private Equity
18705,Series B
18706,Series A
18707,Venture - Series Unknown
18708,Series A
18709,Seed
18710,Series A
18711,Debt Financing
18712,Venture - Series Unknown
18713,Post-IPO Equity
18714,Series B
18715,Convertible Note
18716,Series D
18717,Debt Financing
18718,Venture - Series Unknown
18719,Grant
18720,Grant
18721,Venture - Series Unknown
18722,Venture - Series Unknown
18723,Venture - Series Unknown
18724,Series D
18725,Seed
18726,Seed
18727,Seed
18728,Private Equity
18729,Series A
18730,Grant
18731,Venture - Series Unknown
18732,Venture - Series Unknown
18733,Venture - Series Unknown
18734,Series D
18735,Seed
18736,Seed
18737,Seed
18738,Private Equity
18739,Series A
18740,Series B
18741,Post-IPO Debt
18742,Venture - Series Unknown
18743,Series A
18744,Venture - Series Unknown
18745,Series C
18746,Series A
18747,Series B
18748,Seed
18749,Venture - Series Unknown
18750,Series C
18751,Seed
18752,Venture - Series Unknown
18753,Venture - Series Unknown
18754,Grant
18755,Debt Financing
18756,Post-IPO Debt
18757,Seed
18758,Debt Financing
18759,Series B
18760,Venture - Series Unknown
18761,Seed
18762,Debt Financing
18763,Venture - Series Unknown
18764,Series A
18765,Seed
18766,Venture - Series Unknown
18767,Venture - Series Unknown
18768,Post-IPO Debt
18769,Venture - Series Unknown
18770,Seed
18771,Debt Financing
18772,Series B
18773,Debt Financing
18774,Debt Financing
18775,Seed
18776,Series A
18777,Series A
18778,Seed
18779,Seed
18780,Grant
18781,Venture - Series Unknown
18782,Venture - Series Unknown
18783,Venture - Series Unknown
18784,Series D
18785,Seed
18786,Seed
18787,Seed
18788,Private Equity
18789,Series A
18790,Series B
18791,Post-IPO Debt
18792,Venture - Series Unknown
18793,Series A
18794,Venture - Series Unknown
18795,Series C
18796,Series A
18797,Series B
18798,Seed
18799,Venture - Series Unknown
18800,Series C
18801,Seed
18802,Venture - Series Unknown
18803,Venture - Series Unknown
18804,Grant
18805,Debt Financing
18806,Post-IPO Debt
18807,Seed
18808,Debt Financing
18809,Series B
18810,Venture - Series Unknown
18811,Seed
18812,Debt Financing
18813,Venture - Series Unknown
18814,Series A
18815,Debt Financing
18816,Venture - Series Unknown
18817,Venture - Series Unknown
18818,Seed
18819,Seed
18820,Seed
18821,Venture - Series Unknown
18822,Grant
18823,Debt Financing
18824,Post-IPO Equity
18825,Series A
18826,Series B
18827,Seed
18828,Seed
18829,Post-IPO Equity
18830,Venture - Series Unknown
18831,Venture - Series Unknown
18832,Seed
18833,Angel
18834,Seed
18835,Private Equity
18836,Series A
18837,Seed
18838,Series A
18839,Venture - Series Unknown
18840,Series A
18841,Venture - Series Unknown
18842,Seed
18843,Grant
18844,Series B
18845,Series A
18846,Seed
18847,Series B
18848,Seed
18849,Seed
18850,Funding Round
18851,Private Equity
18852,Private Equity
18853,Series B
18854,Series B
18855,Seed
18856,Venture - Series Unknown
18857,Venture - Series Unknown
18858,Seed
18859,Debt Financing
18860,Venture - Series Unknown
18861,Venture - Series Unknown
18862,Series D
18863,Venture - Series Unknown
18864,Seed
18865,Convertible Note
18866,Seed
18867,Venture - Series Unknown
18868,Grant
18869,Grant
18870,Private Equity
18871,Seed
18872,Debt Financing
18873,Angel
18874,Venture - Series Unknown
18875,Series D
18876,Series A
18877,Seed
18878,Venture - Series Unknown
18879,Private Equity
18880,Series C
18881,Series A
18882,Venture - Series Unknown
18883,Seed
18884,Seed
18885,Venture - Series Unknown
18886,Venture - Series Unknown
18887,Pre-Seed
18888,Seed
18889,Seed
18890,Angel
18891,Seed
18892,Series B
18893,Series A
18894,Series A
18895,Funding Round
18896,Series C
18897,Debt Financing
18898,Private Equity
18899,Venture - Series Unknown
18900,Venture - Series Unknown
18901,Series B
18902,Venture - Series Unknown
18903,Venture - Series Unknown
18904,Series A
18905,Series C
18906,Venture - Series Unknown
18907,Seed
18908,Venture - Series Unknown
18909,Venture - Series Unknown
18910,Venture - Series Unknown
18911,Seed
18912,Venture - Series Unknown
18913,Series A
18914,Series A
18915,Series A
18916,Venture - Series Unknown
18917,Series A
18918,Private Equity
18919,Seed
18920,Venture - Series Unknown
18921,Series A
18922,Venture - Series Unknown
18923,Seed
18924,Seed
18925,Series B
18926,Venture - Series Unknown
18927,Post-IPO Equity
18928,Post-IPO Equity
18929,Venture - Series Unknown
18930,Debt Financing
18931,Debt Financing
18932,Venture - Series Unknown
18933,Series A
18934,Post-IPO Debt
18935,Angel
18936,Venture - Series Unknown
18937,Venture - Series Unknown
18938,Series A
18939,Venture - Series Unknown
18940,Series A
18941,Series B
18942,Seed
18943,Seed
18944,Venture - Series Unknown
18945,Debt Financing
18946,Venture - Series Unknown
18947,Venture - Series Unknown
18948,Series A
18949,Venture - Series Unknown
18950,Venture - Series Unknown
18951,Venture - Series Unknown
18952,Post-IPO Equity
18953,Venture - Series Unknown
18954,Debt Financing
18955,Debt Financing
18956,Debt Financing
18957,Venture - Series Unknown
18958,Venture - Series Unknown
18959,Venture - Series Unknown
18960,Grant
18961,Series B
18962,Venture - Series Unknown
18963,Debt Financing
18964,Debt Financing
18965,Debt Financing
18966,Venture - Series Unknown
18967,Series C
18968,Series A
18969,Series B
18970,Venture - Series Unknown
18971,Venture - Series Unknown
18972,Debt Financing
18973,Series B
18974,Seed
18975,Venture - Series Unknown
18976,Venture - Series Unknown
18977,Seed
18978,Private Equity
18979,Series A
18980,Venture - Series Unknown
18981,Post-IPO Equity
18982,Venture - Series Unknown
18983,Series A
18984,Series B
18985,Private Equity
18986,Debt Financing
18987,Venture - Series Unknown
18988,Debt Financing
18989,Post-IPO Equity
18990,Debt Financing
18991,Venture - Series Unknown
18992,Debt Financing
18993,Venture - Series Unknown
18994,Series D
18995,Series A
18996,Debt Financing
18997,Series A
18998,Debt Financing
18999,Post-IPO Equity
19000,Seed
19001,Angel
19002,Grant
19003,Venture - Series Unknown
19004,Series B
19005,Grant
19006,Series B
19007,Grant
19008,Seed
19009,Debt Financing
19010,Pre-Seed
19011,Grant
19012,Angel
19013,Seed
19014,Grant
19015,Seed
19016,Seed
19017,Grant
19018,Seed
19019,Grant
19020,Series B
19021,Grant
19022,Grant
19023,Grant
19024,Grant
19025,Grant
19026,Venture - Series Unknown
19027,Series A
19028,Series C
19029,Venture - Series Unknown
19030,Series A
19031,Private Equity
19032,Private Equity
19033,Venture - Series Unknown
19034,Private Equity
19035,Equity Crowdfunding
19036,Series A
19037,Venture - Series Unknown
19038,Venture - Series Unknown
19039,Non-equity Assistance
19040,Venture - Series Unknown
19041,Venture - Series Unknown
19042,Series A
19043,Funding Round
19044,Series A
19045,Venture - Series Unknown
19046,Venture - Series Unknown
19047,Series A
19048,Series B
19049,Seed
19050,Venture - Series Unknown
19051,Seed
19052,Venture - Series Unknown
19053,Seed
19054,Venture - Series Unknown
19055,Debt Financing
19056,Series A
19057,Seed
19058,Seed
19059,Series C
19060,Debt Financing
19061,Debt Financing
19062,Venture - Series Unknown
19063,Private Equity
19064,Venture - Series Unknown
19065,Private Equity
19066,Venture - Series Unknown
19067,Post-IPO Equity
19068,Series A
19069,Venture - Series Unknown
19070,Venture - Series Unknown
19071,Seed
19072,Seed
19073,Venture - Series Unknown
19074,Series A
19075,Venture - Series Unknown
19076,Series A
19077,Grant
19078,Venture - Series Unknown
19079,Grant
19080,Series A
19081,Equity Crowdfunding
19082,Venture - Series Unknown
19083,Debt Financing
19084,Series A
19085,Series A
19086,Series B
19087,Series D
19088,Venture - Series Unknown
19089,Venture - Series Unknown
19090,Debt Financing
19091,Seed
19092,Debt Financing
19093,Post-IPO Equity
19094,Post-IPO Debt
19095,Venture - Series Unknown
19096,Venture - Series Unknown
