,Funding type
895,Venture - Series Unknown
896,Equity Crowdfunding
897,Seed
898,Series D
899,Seed
900,Seed
901,Venture - Series Unknown
902,Seed
903,Debt Financing
904,Venture - Series Unknown
905,Debt Financing
906,Convertible Note
907,Grant
908,Debt Financing
909,Seed
910,Venture - Series Unknown
911,Post-IPO Equity
912,Seed
913,Product Crowdfunding
914,Post-IPO Equity
915,Venture - Series Unknown
916,Seed
917,Seed
918,Seed
919,Seed
920,Grant
921,Post-IPO Debt
922,Series A
923,Grant
924,Series B
925,Grant
926,Angel
927,Seed
928,Post-IPO Equity
929,Seed
930,Series B
931,Funding Round
932,Grant
933,Venture - Series Unknown
934,Debt Financing
935,Debt Financing
936,Post-IPO Equity
937,Non-equity Assistance
938,Series A
939,Grant
940,Seed
941,Seed
942,Private Equity
943,Seed
944,Convertible Note
945,Venture - Series Unknown
946,Non-equity Assistance
947,Series A
948,Seed
949,Non-equity Assistance
950,Non-equity Assistance
951,Series C
952,Private Equity
953,Series C
954,Non-equity Assistance
955,Venture - Series Unknown
956,Non-equity Assistance
957,Grant
958,Seed
959,Series A
960,Series A
961,Seed
962,Seed
963,Angel
964,Seed
965,Seed
966,Series A
967,Seed
968,Seed
969,Seed
970,Seed
971,Venture - Series Unknown
972,Non-equity Assistance
973,Seed
974,Debt Financing
975,Series A
976,Venture - Series Unknown
977,Series D
978,Seed
979,Product Crowdfunding
980,Pre-Seed
981,Venture - Series Unknown
982,Series B
983,Series A
984,Seed
985,Series A
986,Grant
987,Post-IPO Equity
988,Venture - Series Unknown
989,Post-IPO Equity
990,Post-IPO Equity
991,Series A
992,Equity Crowdfunding
993,Seed
994,Angel
995,Series B
996,Series B
997,Venture - Series Unknown
998,Seed
999,Debt Financing
1000,Series A
1001,Venture - Series Unknown
1002,Series B
1003,Post-IPO Equity
1004,Debt Financing
1005,Angel
1006,Angel
1007,Series A
1008,Series A
1009,Angel
1010,Angel
1011,Post-IPO Equity
1012,Seed
1013,Seed
1014,Grant
1015,Debt Financing
1016,Seed
1017,Non-equity Assistance
1018,Non-equity Assistance
1019,Non-equity Assistance
1020,Pre-Seed
1021,Seed
1022,Venture - Series Unknown
1023,Seed
1024,Grant
1025,Grant
1026,Series A
1027,Venture - Series Unknown
1028,Grant
1029,Grant
1030,Non-equity Assistance
1031,Seed
1032,Non-equity Assistance
1033,Seed
1034,Angel
1035,Series B
1036,Seed
1037,Private Equity
1038,Seed
1039,Non-equity Assistance
1040,Grant
1041,Pre-Seed
1042,Seed
1043,Seed
1044,Venture - Series Unknown
1045,Grant
1046,Grant
1047,Grant
1048,Seed
1049,Grant
1050,Seed
1051,Seed
1052,Seed
1053,Seed
1054,Grant
1055,Seed
1056,Seed
1057,Seed
1058,Pre-Seed
1059,Seed
1060,Private Equity
1061,Seed
1062,Seed
1063,Pre-Seed
1064,Non-equity Assistance
1065,Post-IPO Equity
1066,Grant
1067,Series A
1068,Angel
1069,Seed
1070,Series A
1071,Grant
1072,Seed
1073,Seed
1074,Seed
1075,Pre-Seed
1076,Angel
1077,Non-equity Assistance
1078,Seed
1079,Seed
1080,Seed
1081,Private Equity
1082,Venture - Series Unknown
1083,Angel
1084,Non-equity Assistance
1085,Seed
1086,Grant
1087,Grant
1088,Angel
1089,Seed
1090,Series B
1091,Seed
1092,Grant
1093,Series A
1094,Grant
1095,Seed
1096,Seed
1097,Post-IPO Debt
1098,Series A
1099,Seed
1100,Grant
1101,Grant
1102,Seed
1103,Seed
1104,Seed
1105,Pre-Seed
1106,Pre-Seed
1107,Grant
1108,Grant
1109,Grant
1110,Venture - Series Unknown
1111,Post-IPO Equity
1112,Seed
1113,Seed
1114,Grant
1115,Series G
1116,Grant
1117,Grant
1118,Pre-Seed
1119,Seed
1120,Grant
1121,Funding Round
1122,Grant
1123,Post-IPO Equity
1124,Grant
1125,Grant
1126,Seed
1127,Venture - Series Unknown
1128,Seed
1129,Seed
1130,Venture - Series Unknown
1131,Seed
1132,Equity Crowdfunding
1133,Seed
1134,Post-IPO Equity
1135,Venture - Series Unknown
1136,Series C
1137,Non-equity Assistance
1138,Series F
1139,Equity Crowdfunding
1140,Series B
1141,Angel
1142,Angel
1143,Non-equity Assistance
1144,Funding Round
1145,Seed
1146,Angel
1147,Seed
1148,Seed
1149,Seed
1150,Seed
1151,Venture - Series Unknown
1152,Seed
1153,Seed
1154,Series A
1155,Series C
1156,Series A
1157,Debt Financing
1158,Venture - Series Unknown
1159,Pre-Seed
1160,Pre-Seed
1161,Series A
1162,Series F
1163,Post-IPO Equity
1164,Series B
1165,Grant
1166,Seed
1167,Seed
1168,Series B
1169,Venture - Series Unknown
1170,Series A
1171,Grant
1172,Seed
1173,Series A
1174,Seed
1175,Venture - Series Unknown
1176,Series C
1177,Seed
1178,Venture - Series Unknown
1179,Seed
1180,Seed
1181,Series A
1182,Seed
1183,Venture - Series Unknown
1184,Series B
1185,Seed
1186,Series A
1187,Seed
1188,Venture - Series Unknown
1189,Venture - Series Unknown
1190,Seed
1191,Series D
1192,Seed
1193,Series A
1194,Venture - Series Unknown
1195,Venture - Series Unknown
1196,Seed
1197,Venture - Series Unknown
1198,Venture - Series Unknown
1199,Venture - Series Unknown
1200,Venture - Series Unknown
1201,Post-IPO Equity
1202,Funding Round
1203,Venture - Series Unknown
1204,Venture - Series Unknown
1205,Venture - Series Unknown
1206,Pre-Seed
1207,Venture - Series Unknown
1208,Series A
1209,Venture - Series Unknown
1210,Venture - Series Unknown
1211,Venture - Series Unknown
1212,Seed
1213,Seed
1214,Venture - Series Unknown
1215,Venture - Series Unknown
1216,Venture - Series Unknown
1217,Venture - Series Unknown
1218,Seed
1219,Debt Financing
1220,Seed
1221,Debt Financing
1222,Venture - Series Unknown
1223,Post-IPO Equity
1224,Series A
1225,Venture - Series Unknown
1226,Seed
1227,Series B
1228,Series B
1229,Series A
1230,Series B
1231,Grant
1232,Angel
1233,Debt Financing
1234,Debt Financing
1235,Post-IPO Equity
1236,Series B
1237,Pre-Seed
1238,Post-IPO Equity
1239,Seed
1240,Convertible Note
1241,Angel
1242,Venture - Series Unknown
1243,Pre-Seed
1244,Series C
1245,Series A
1246,Series B
1247,Seed
1248,Post-IPO Equity
1249,Post-IPO Equity
1250,Series D
1251,Venture - Series Unknown
1252,Angel
1253,Equity Crowdfunding
1254,Post-IPO Equity
1255,Series B
1256,Seed
1257,Convertible Note
1258,Seed
1259,Series A
1260,Seed
1261,Seed
1262,Series A
1263,Venture - Series Unknown
1264,Series A
1265,Seed
1266,Grant
1267,Venture - Series Unknown
1268,Funding Round
1269,Seed
1270,Seed
1271,Venture - Series Unknown
1272,Seed
1273,Series A
1274,Venture - Series Unknown
1275,Seed
1276,Seed
1277,Series A
1278,Venture - Series Unknown
1279,Series B
1280,Venture - Series Unknown
1281,Debt Financing
1282,Post-IPO Debt
1283,Seed
1284,Seed
1285,Pre-Seed
1286,Grant
1287,Angel
1288,Series A
1289,Series E
1290,Series A
1291,Funding Round
1292,Seed
1293,Venture - Series Unknown
1294,Seed
1295,Venture - Series Unknown
1296,Angel
1297,Post-IPO Debt
1298,Series A
1299,Seed
1300,Seed
1301,Angel
1302,Series A
1303,Series A
1304,Venture - Series Unknown
1305,Venture - Series Unknown
1306,Pre-Seed
1307,Debt Financing
1308,Venture - Series Unknown
1309,Venture - Series Unknown
1310,Non-equity Assistance
1311,Series A
1312,Venture - Series Unknown
1313,Series A
1314,Seed
1315,Series B
1316,Convertible Note
1317,Debt Financing
1318,Pre-Seed
1319,Seed
1320,Venture - Series Unknown
1321,Venture - Series Unknown
1322,Series B
1323,Angel
1324,Seed
1325,Seed
1326,Angel
1327,Series C
1328,Series A
1329,Seed
1330,Seed
1331,Venture - Series Unknown
1332,Series A
1333,Venture - Series Unknown
1334,Convertible Note
1335,Series A
1336,Post-IPO Equity
1337,Private Equity
1338,Angel
1339,Venture - Series Unknown
1340,Debt Financing
1341,Seed
1342,Seed
1343,Series A
1344,Pre-Seed
1345,Non-equity Assistance
1346,Convertible Note
1347,Seed
1348,Seed
1349,Grant
1350,Post-IPO Equity
1351,Venture - Series Unknown
1352,Venture - Series Unknown
1353,Funding Round
1354,Post-IPO Equity
1355,Series C
1356,Venture - Series Unknown
1357,Series A
1358,Grant
1359,Venture - Series Unknown
1360,Venture - Series Unknown
1361,Series A
1362,Debt Financing
1363,Venture - Series Unknown
1364,Seed
1365,Series A
1366,Series A
1367,Seed
1368,Seed
1369,Venture - Series Unknown
1370,Grant
1371,Funding Round
1372,Series A
1373,Seed
1374,Seed
1375,Venture - Series Unknown
1376,Angel
1377,Series A
1378,Venture - Series Unknown
1379,Series B
1380,Series A
1381,Series A
1382,Post-IPO Equity
1383,Venture - Series Unknown
1384,Seed
1385,Venture - Series Unknown
1386,Seed
1387,Series A
1388,Seed
1389,Convertible Note
1390,Convertible Note
1391,Seed
1392,Seed
1393,Series D
1394,Seed
1395,Seed
1396,Venture - Series Unknown
1397,Funding Round
1398,Series A
1399,Debt Financing
1400,Venture - Series Unknown
1401,Post-IPO Debt
1402,Non-equity Assistance
1403,Series A
1404,Venture - Series Unknown
1405,Funding Round
1406,Series A
1407,Debt Financing
1408,Venture - Series Unknown
1409,Post-IPO Debt
1410,Non-equity Assistance
1411,Series A
1412,Venture - Series Unknown
1413,Seed
1414,Debt Financing
1415,Private Equity
1416,Seed
1417,Post-IPO Debt
1418,Seed
1419,Seed
1420,Venture - Series Unknown
1421,Series A
1422,Seed
1423,Venture - Series Unknown
1424,Venture - Series Unknown
1425,Post-IPO Equity
1426,Series A
1427,Seed
1428,Series A
1429,Seed
1430,Convertible Note
1431,Post-IPO Equity
1432,Venture - Series Unknown
1433,Seed
1434,Post-IPO Equity
1435,Seed
1436,Venture - Series Unknown
1437,Seed
1438,Seed
1439,Grant
1440,Funding Round
1441,Series A
1442,Debt Financing
1443,Venture - Series Unknown
1444,Post-IPO Debt
