"","clusters","index"
"13986.0","0","13986.0"
"19169.0","0","19169.0"
"37408.0","0","37408.0"
"17880.0","0","17880.0"
"17712.0","0","17712.0"
"20405.0","0","20405.0"
"366.0","0","366.0"
"19924.0","0","19924.0"
"14964.0","0","14964.0"
"16007.0","0","16007.0"
"26219.0","0","26219.0"
"16786.0","0","16786.0"
"45632.0","0","45632.0"
"11034.0","0","11034.0"
"18562.0","0","18562.0"
"18534.0","0","18534.0"
"38904.0","0","38904.0"
"24518.0","0","24518.0"
"8744.0","0","8744.0"
"2487.0","0","2487.0"
"528929.0","0","528929.0"
"26218.0","0","26218.0"
"19249.0","0","19249.0"
"5647.0","0","5647.0"
"85.0","0","85.0"
"10947.0","0","10947.0"
"1520.0","0","1520.0"
"13118.0","0","13118.0"
"19607.0","0","19607.0"
"17962.0","0","17962.0"
"1624.0","0","1624.0"
"15162.0","0","15162.0"
"12960.0","0","12960.0"
"7130.0","0","7130.0"
"2315.0","0","2315.0"
"704.0","0","704.0"
"16613.0","0","16613.0"
"11206.0","0","11206.0"
"15946.0","0","15946.0"
"17931.0","0","17931.0"
"15786.0","0","15786.0"
"1319.0","0","1319.0"
"19056.0","0","19056.0"
"6227.0","0","6227.0"
"14095.0","0","14095.0"
"18056.0","0","18056.0"
"27324.0","0","27324.0"
"4486.0","0","4486.0"
"26892.0","0","26892.0"
"7173.0","0","7173.0"
"5755.0","0","5755.0"
"6040.0","0","6040.0"
"23424.0","0","23424.0"
"25956.0","0","25956.0"
"44869.0","0","44869.0"
"9264.0","0","9264.0"
"229677.0","0","229677.0"
"494393.0","0","494393.0"
"25580.0","0","25580.0"
"7234.0","0","7234.0"
"24634.0","0","24634.0"
"16815.0","0","16815.0"
"7237.0","0","7237.0"
"41912.0","0","41912.0"
"53388.0","0","53388.0"
"53521.0","0","53521.0"
"379576.0","0","379576.0"
"22187.0","0","22187.0"
"24493.0","0","24493.0"
"16823.0","0","16823.0"
"21383.0","0","21383.0"
"10969.0","0","10969.0"
"17401.0","0","17401.0"
"50001.0","0","50001.0"
"18668.0","0","18668.0"
"16126.0","0","16126.0"
"16235.0","0","16235.0"
"15639.0","0","15639.0"
"5511.0","0","5511.0"
"16631.0","0","16631.0"
"81219.0","0","81219.0"
"473101.0","0","473101.0"
"51338.0","0","51338.0"
"51393.0","0","51393.0"
"13530.0","0","13530.0"
"51657.0","0","51657.0"
"52319.0","0","52319.0"
"24445.0","0","24445.0"
"9423.0","0","9423.0"
"5542.0","0","5542.0"
"27111.0","0","27111.0"
"26005.0","0","26005.0"
"63842.0","0","63842.0"
"227889.0","0","227889.0"
"76621.0","0","76621.0"
"15594.0","0","15594.0"
"80865.0","0","80865.0"
"82467.0","0","82467.0"
"83766.0","0","83766.0"
"228212.0","0","228212.0"
"16611.0","0","16611.0"
"97160.0","0","97160.0"
"76090.0","0","76090.0"
"982.0","0","982.0"
"497521.0","0","497521.0"
"228281.0","0","228281.0"
"241115.0","0","241115.0"
"339021.0","0","339021.0"
"240807.0","0","240807.0"
"250664.0","0","250664.0"
"259304.0","0","259304.0"
"22316.0","0","22316.0"
"542630.0","0","542630.0"
"249891.0","0","249891.0"
"298910.0","0","298910.0"
"26965.0","0","26965.0"
"319968.0","0","319968.0"
"322675.0","0","322675.0"
"330734.0","0","330734.0"
"333845.0","0","333845.0"
"334321.0","0","334321.0"
"20371.0","0","20371.0"
"337552.0","0","337552.0"
"355593.0","0","355593.0"
"356326.0","0","356326.0"
"357586.0","0","357586.0"
"358824.0","0","358824.0"
"333327.0","0","333327.0"
"384352.0","0","384352.0"
"18229.0","0","18229.0"
"404662.0","0","404662.0"
"409235.0","0","409235.0"
"368417.0","0","368417.0"
"442297.0","0","442297.0"
