,index,foundation,voterank,eigenvector,degree,pagerank,closeness,newman,subgraph,average
12493,24574.0,2003.0,,0.0002599875657253,0.0012150668286755,5.543344989332419e-05,0.2911889024502181,3.5758031226858405e-05,2.273776714329054e+97,105.85714285714286
12499,3587.0,2005.0,93.0,0.0326689073214515,0.0420065960770699,0.0003535319952408,0.376186474757196,6.367512208284498e-05,3.59042399496269e+101,277.3884297520661
12500,11108.0,2005.0,2769.0,0.0005212766190504,0.0024301336573511,8.473426276515335e-05,0.3039738405975132,0.0001216844620567,9.140635209767847e+97,98.35714285714286
12504,1731.0,2005.0,4241.0,0.0359850541779737,0.0522478736330498,0.0004517939205319,0.3876054849867779,0.0003594467737582,4.356432156435111e+101,256.75083056478405
12505,45827.0,2005.0,4083.0,0.0008959797656303,0.0020829717063009,5.9114952463430686e-05,0.3127092667657431,0.0,2.7010555572693683e+98,178.08333333333334
12506,518029.0,2007.0,865.0,0.0019248491474154,0.0044526331951481,6.153662355462417e-05,0.3185914102825842,0.0,2.807262039443699e+106,192.8275862068965
12508,20204.0,2005.0,1939.0,0.0005521919103279,0.0031244575594514,7.835996595473489e-05,0.2966771712375089,3.060534190055324e-05,1.025988523070225e+98,80.72222222222223
12509,2865.0,2001.0,4089.0,0.0009732644405268,0.0020829717063009,5.1131060006102384e-05,0.3053646433088854,0.0,3.1881002022450853e+98,171.66666666666666
12510,9219.0,2005.0,4031.0,0.0120301144680413,0.0236070126714112,0.0002292837459717,0.3706981584180737,0.0001280730159817,4.86652356820052e+100,231.61764705882356
12513,20454.0,2004.0,3751.0,0.0004293633015689,0.0017358097552508,4.482921031364081e-05,0.299607184600422,0.0,6.199769640297594e+97,114.5
12518,540775.0,2005.0,,,,,,,,
12520,493806.0,2007.0,1187.0,2.8792266280484684e-06,0.0038187814615518,0.0002787307952744,0.2306061565060006,0.0012936604370383,2.787034221152872e+93,18.545454545454547
12521,26257.0,2005.0,5865.0,2.321364861553617e-05,0.0001390240511608,2.265918660457529e-05,0.2606674274182742,0.0,4.148619740734245e+108,117.0
12522,6653.0,2007.0,3476.0,0.0088792221642871,0.0175316785280333,0.0001714941306399,0.3499152207703076,1.517060278639882e-05,2.651889065167405e+100,220.40594059405944
12526,17877.0,2000.0,1743.0,0.0188067853621996,0.0234334316958861,0.0002435855728974,0.3690582638884649,0.0006831128247521,1.1902409407577672e+101,272.962962962963
12527,1658.0,2005.0,2873.0,0.0459263521730625,0.0546780072904009,0.0004596586948169,0.3906608314305198,0.0002721607810894,7.09636585747679e+101,290.0190476190476
12529,10896.0,2002.0,3948.0,0.0023684788225601,0.0046866863391772,7.026970122279232e-05,0.338807177008207,0.0,1.8870021706470982e+99,217.07407407407408
12535,20817.0,2002.0,3279.0,0.0002236886304344,0.0020829717063009,7.047055419969682e-05,0.2804536773374748,0.0001079410586713,1.6822149808221956e+97,65.5
12536,43076.0,2004.0,2705.0,0.0209164643378728,0.0241277555979864,0.0002147381882557,0.3515618228065213,5.593893349914614e-05,1.473216594553693e+101,271.35971223021585
12538,44851.0,2000.0,,0.0001136310252337,0.000658870037885,2.2298400350107296e-05,0.256343342985194,0.0,3.076529640526093e+152,109.0
12540,26397.0,2007.0,,5.19205230079757e-05,0.0012150668286755,5.882651148442851e-05,0.2646751921065594,0.0,9.070994893260328e+95,30.142857142857142
12543,25571.0,2007.0,3479.0,1.3042900667153734e-35,0.000173580975525,0.0001735508503991,0.000173580975525,0.0,1.5430806348152435,1.0
12547,366.0,2000.0,2053.0,0.01055860300984,0.0194410692588092,0.0002172467299909,0.3612802044835258,0.0002656651191517,3.749655520687733e+100,230.9196428571429
12551,19924.0,2006.0,,8.131922391602945e-07,0.000173580975525,3.605500569675333e-05,0.2213957819062873,0.0,2.2240344161151237e+92,9.0
12555,3856.0,2003.0,2416.0,0.0092594640601404,0.0182260024301336,0.0001962709743096,0.3619332778828091,0.0002441751827327,2.883659899635115e+100,223.57142857142856
12556,20668.0,2005.0,3507.0,4.071830778983128e-06,0.000614156302779,5.229987104081664e-05,0.2369704730462529,0.0,1.2562578515177232e+101,29.75
12558,15972.0,2005.0,1992.0,0.0188324446370683,0.0300295087658392,0.0002838869639768,0.3758192982295405,0.0001834408804218,1.1930197158051591e+101,249.02312138728325
12562,98307.0,2001.0,5620.0,0.0001247359372033,0.0005207429265752,3.437950575188954e-05,0.2751050966265045,0.0,5.231994789492807e+96,111.0
12566,56330.0,2007.0,10527.0,8.56710977248658e-33,0.0003471619510501,0.0001735508503991,0.0003471619510501,0.0,2.7082716604245047,2.0
12569,17416.0,2005.0,2709.0,5.453571781032396e-05,0.0012150668286755,0.0001035315388308,0.2674040938682221,0.0006470713032073,9.992928926643004e+95,36.285714285714285
12570,19311.0,2001.0,3481.0,0.0022079100897518,0.0062489151189029,8.816340542092124e-05,0.3275875152564954,0.0,1.6397915536596836e+99,165.5
12575,6997.0,2002.0,3327.0,0.021864065779446,0.0256899843777122,0.0002447778914686,0.3633520058884473,0.0006697978395806,1.608402401893427e+101,284.8783783783784
12579,29.0,2006.0,3303.0,0.0356960884209416,0.0503384829022739,0.0004283876590407,0.3828912440235026,0.000222064326352,4.286577034904397e+101,261.07241379310346
12582,9245.0,2004.0,1354.0,0.0062458433680357,0.0177052595035584,0.0001895128091102,0.3579730553614568,0.0001162966657543,1.3123519987525176e+100,165.0
12587,11288.0,2002.0,2294.0,0.0019023745917279,0.0050338482902273,7.504500068144597e-05,0.3339250989405771,5.650713690487109e-06,1.2172701581354654e+99,184.3793103448276
12590,23792.0,2000.0,,3.910539114989124e-05,6.41025641025641e-05,1.01092719755345e-05,0.2417705253182106,0.0,5.332908226312379e+145,280.0
12592,26219.0,2006.0,4618.0,0.0040896740701163,0.0067696580454782,8.471788138160341e-05,0.333014252752262,0.0,5.62634867059442e+99,243.7692307692308
12595,15936.0,2005.0,2507.0,0.0054855092123064,0.0151015448706821,0.0001693612324272,0.3434330863203602,0.0001471895444665,1.0121240166512565e+100,176.33333333333334
12597,16786.0,2000.0,3533.0,0.0008999338421604,0.0032980385349765,7.313285088326775e-05,0.3078814880747478,4.42630773534708e-05,2.7241685775574582e+98,125.84210526315788
12599,53113.0,2002.0,6471.0,0.0002431905488046,0.0008247731873734,2.5680497684695103e-05,0.2769395036372702,0.0,1.8645339187820668e+138,147.45454545454547
